index,PDBID,pK
0,1hk4,5.31
1,1ha2,5.54
2,1gni,8.07
3,1nhu,5.66
4,2d3z,6.64
5,2d3u,6.92
6,1ajp,2.23
7,1ai5,3.72
8,1ajq,4.31
9,1gpk,5.37
10,1h23,8.35
11,1e66,9.89
12,2rkm,3.9
13,1b9j,5.96
14,1b7h,8.02
15,1u2y,1.74
16,1u33,4.6
17,1xd1,7.92
18,1uwt,5.97
19,2ceq,7.28
20,2cer,9.22
21,2qwb,2.74
22,2qwd,4.85
23,2qwe,7.48
24,2j77,4.89
25,2j78,6.42
26,2cet,8.02
27,1m0n,2.22
28,1zc9,3.22
29,1m0q,3.89
30,2fdp,7.59
31,1fkn,8.8
32,2g94,9.52
33,1v16,3.87
34,1olu,4.41
35,1ols,5.82
36,1tok,2.47
37,1toj,3.39
38,1toi,4.05
39,1n2v,4.08
40,1k4g,5.85
41,1s39,7.7
42,1kv1,5.94
43,2bak,7.43
44,2baj,8.4
45,1ndw,5.23
46,1ndy,6.17
47,1ndz,8.11
48,2hdq,1.4
49,1l2s,4.59
50,1xgj,6.0
51,1q8t,4.76
52,1ydt,7.32
53,1re8,9.52
54,1g7q,6.06
55,1fzj,8.1
56,1fzk,8.4
57,1m2q,6.1
58,1om1,6.77
59,1zoe,7.4
60,2azr,3.64
61,1g7f,5.47
62,1nny,7.66
63,5er1,6.02
64,2er9,7.4
65,4er2,9.3
66,1ppm,5.8
67,1apw,8.0
68,1bxo,10.0
69,1nje,3.8
70,1tsy,4.96
71,1nja,6.31
72,4tln,3.72
73,1tmn,7.3
74,4tmn,10.17
75,1fh7,5.24
76,1fh9,6.43
77,1fh8,6.89
78,2fzc,2.7
79,2h3e,5.7
80,1d09,7.57
81,2ctc,3.89
82,8cpa,9.15
83,7cpa,13.96
84,1e1v,4.92
85,1b39,6.92
86,1pxo,8.7
87,1bcu,3.28
88,1vzq,7.44
89,1sl3,11.85
90,2brb,4.86
91,2brm,5.89
92,1nvq,8.25
93,1jqd,5.16
94,2aov,7.04
95,2aou,7.73
96,1y1m,1.82
97,1pb9,3.62
98,1pbq,6.27
99,1vfn,5.6
100,1v48,7.8
101,1b8o,10.64
102,1p1q,4.89
103,1syh,6.31
104,1ftm,7.61
105,1fcx,7.19
106,1fd0,8.4
107,1fcz,9.22
108,1f4e,2.96
109,1f4f,4.62
110,1f4g,6.48
111,1f5k,3.74
112,1o3p,6.66
113,1sqa,9.21
114,2b1v,5.74
115,2fai,6.24
116,2ayr,9.29
117,1avn,3.9
118,1ttm,7.35
119,1if7,10.52
120,2bok,6.55
121,1nfy,8.89
122,1mq6,11.15
123,2usn,6.51
124,2d1o,7.7
125,1hfs,8.7
126,2flb,5.74
127,2bz6,7.09
128,2b7d,8.7
129,1loq,3.7
130,1lol,6.39
131,1x1z,11.06
132,4tim,2.16
133,1kv5,4.22
134,1trd,5.4
135,1bra,1.82
136,1j16,3.84
137,1j17,5.22
138,1utp,1.44
139,1v2o,4.73
140,1o3f,7.96
141,1jys,3.52
142,1nc1,6.12
143,1y6q,11.7
144,1bma,4.59
145,1ela,6.36
146,1elb,7.15
147,1pr5,3.92
148,1a69,5.3
149,1k9s,6.52
150,3pce,2.0
151,3pch,5.4
152,3pcj,7.22
153,1pz5,5.4
154,2cgr,7.28
155,1flr,10.0
156,2gss,4.94
157,3gss,5.82
158,10gs,6.4
159,6std,8.64
160,2std,9.85
161,3std,11.11
162,1jaq,4.48
163,1zs0,6.15
164,1zvx,9.22
165,2d0k,5.02
166,1dhi,7.26
167,2drc,9.89
168,1slg,3.9
169,1df8,9.7
170,2f01,13.0
171,2g8r,3.99
172,1o0h,5.92
173,1u1b,7.8
174,2c02,4.04
175,1hi4,4.49
176,2bzz,6.43
177,1tyr,7.0
178,1e5a,7.64
179,2g5u,8.49
180,1sv3,4.74
181,1q7a,7.19
182,1jq9,8.45
183,1a08,5.62
184,1a1b,6.4
185,1is0,7.0
186,1a30,4.3
187,2f80,8.18
188,2i0d,12.1
189,1d7j,3.3
190,1fki,7.0
191,1fkb,9.7
192,6rnt,2.37
193,1det,4.3
194,1rnt,5.19
